start_time,total_pkts,total_bytes_MB,ave_rate_Mbps,std_rate_Mbps
200904022015,19563402,14317.30,133.39,27.41
200904022030,18549469,12842.85,119.80,13.46
200904022045,18631985,12604.89,117.43,13.45
200904022100,19071740,12168.91,113.52,11.58
200904022115,20728472,13005.78,121.18,15.42
200904022130,20671519,13246.28,123.39,12.64
200904022145,20545916,13741.76,128.13,13.90
200904022200,18982144,12457.10,116.15,15.74
200904022215,21626835,15049.61,140.25,28.32
200904022230,21209626,14446.35,134.66,14.96
200904022245,20900758,14310.55,133.25,12.59
200904022300,20665528,14257.55,133.07,19.38
200904022315,19560731,13586.43,126.58,15.16
200904022330,20924816,14886.65,138.79,13.65
200904022345,20121708,14126.09,131.56,13.37
