date,start_time,end_time,duration,total_pkts,ave_rate,std_rate
2007-9-18,14:00:00,14:15:00,899.86,29817628,172.98,20.65
2007-9-19,14:00:01,14:15:00,899.41,25655505,148.57,32.31
2007-9-20,14:00:00,14:15:01,900.28,28229188,173.6,28.05
2007-9-21,14:00:00,14:15:01,900.78,25782989,157.78,22.36
2007-9-22,14:00:01,14:15:00,899.35,21530243,125.67,18.54
2007-9-23,14:00:00,14:15:00,900.22,17731598,95.84,12.53
2007-9-24,14:00:00,14:15:00,899.9,20317010,127.01,20.6
2007-9-25,14:00:01,14:15:01,899.71,30016677,193.25,30.84
2007-9-26,14:00:01,14:15:01,900.19,25815763,145.78,20.88
2007-9-27,14:00:00,14:15:01,900.63,26220025,148.56,21.43
2007-9-28,14:00:00,14:15:01,900.55,27506735,146.9,19.53
2007-9-29,14:00:01,14:15:01,899.8,20665008,113.61,13.18
2007-9-30,14:00:00,14:15:00,900.15,17205634,100.1,14.48
2007-10-1,14:00:01,14:15:01,900.23,29803571,186.75,35.96
2007-10-2,14:00:01,14:15:01,899.86,28604071,174.59,27.05
2007-10-3,14:00:00,14:15:00,900.01,26759219,162.36,25.5
2007-10-4,14:00:00,14:15:01,900.45,31153233,189.91,29.92
2007-10-5,14:00:01,14:15:01,899.87,30354749,178.96,24.69
2007-10-6,14:00:01,14:15:01,900.13,23827114,148.47,20.38
2007-10-7,14:00:00,14:15:00,900.11,15590853,92.67,12.11
2007-10-8,14:00:00,14:15:00,900,21676107,123.99,12.07
2007-10-9,14:00:00,14:15:01,900.35,29080688,179.85,34.28
2007-10-10,14:00:01,14:15:00,899.84,30949638,183.14,21.29
2007-10-11,14:00:00,14:15:00,899.71,31614181,193.72,27.87
2007-10-12,14:00:01,14:15:01,900.22,29297680,175.91,21.82
2007-10-13,14:00:01,14:15:00,899.71,20106850,122.08,14.42
2007-10-14,14:00:01,14:15:01,900.13,15703639,97.06,14.41
2007-10-15,14:00:01,14:15:01,900.58,28364159,181.21,36.66
2007-10-16,14:00:00,14:15:00,900.27,27785035,176.07,21.89
2007-10-17,14:00:01,14:15:01,900.1,29158049,185.46,27.28
