dataset,algorithm,quantity,rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff,res_sizes,n_leaking_rate,spectral_rads,n_nodes,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
shortterm,cnn,datarate,15.71341769,1.119971991,0.122611046,5,1,64,3,50,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.68756919,0.810110092,0.137121916,5,1,64,3,50,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.66669029,0.745023966,0.157678843,5,1,64,3,50,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.63057301,0.711975098,0.171533108,5,1,64,3,50,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.09510707,0.772171021,0.196186066,10,1,64,3,10,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.27303507,0.805149794,0.212270021,10,1,64,3,10,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.03797436,0.730460882,0.230159044,10,1,64,3,10,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.65261831,0.76651001,0.236749887,10,1,64,3,10,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.90625171,1.009080172,0.255692959,10,1,64,3,20,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.90870395,0.934544086,0.293321133,10,1,64,3,20,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.88552366,0.915213108,0.292974949,10,1,64,3,20,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.06648042,1.039782047,0.299133062,10,1,64,3,20,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.58973865,1.615033865,0.315951824,10,1,64,3,50,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.60960517,1.287739038,0.326241016,10,1,64,3,50,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.57183128,1.246675014,0.342426062,10,1,64,3,50,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.68642944,1.167590141,0.357230902,10,1,64,3,50,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.16115374,1.171736956,0.371793032,10,1,64,5,10,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.65355824,1.113234043,0.385255098,10,1,64,5,10,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.8771762,1.305136919,0.424184084,10,1,64,5,10,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.33352344,1.169258118,0.417791128,10,1,64,5,10,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.75548402,1.436738014,0.435266018,10,1,64,5,20,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.96727678,1.345318079,0.45282197,10,1,64,5,20,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.93229986,1.361773014,0.4664011,10,1,64,5,20,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.10882244,1.333316803,0.500771046,10,1,64,5,20,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.05353594,2.050339222,0.516736031,10,1,64,5,50,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.86250692,1.739012003,0.517715931,10,1,64,5,50,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.74147135,1.678847075,0.562886,10,1,64,5,50,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,13.88693087,1.602630138,0.549613953,10,1,64,5,50,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.45718302,1.629150152,0.568953991,20,1,64,3,10,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.74154468,1.573313951,0.581130028,20,1,64,3,10,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.73958664,1.605145931,0.595251083,20,1,64,3,10,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,16.12574727,1.596250057,0.613374949,20,1,64,3,10,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.55603165,1.926187038,0.624945164,20,1,64,3,20,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.00679053,1.870944977,0.639200926,20,1,64,3,20,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.5175457,1.827270031,0.687157869,20,1,64,3,20,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.95218405,1.797420979,0.693639994,20,1,64,3,20,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.18551886,2.635396957,0.744126081,20,1,64,3,50,10,96,,,,,,,,,,,,
