rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
19423126.138679903,0.9831885553339622,0.017165342401072366,"(1, 0, 0)","(2, 0, 0, 0)",t
19169162.258127198,1.4123966911650778,0.017215279921942335,"(1, 0, 0)","(2, 0, 1, 0)",t
19066537.35921205,3.277326904016316,0.01723823428578224,"(1, 0, 0)","(2, 0, 2, 0)",t
18439461.552031424,0.5128487183105903,0.02772096128226175,"(1, 0, 0)","(0, 0, 0, 0)",ct
19275179.07842564,0.6006256626169877,0.02849201092657811,"(1, 0, 0)","(0, 0, 1, 0)",ct
19235424.2931893,0.9254817215997554,0.029753307430769625,"(1, 0, 0)","(0, 0, 2, 0)",ct
19331617.787442274,0.9879192989209086,0.028470453701268172,"(1, 0, 0)","(1, 0, 0, 0)",ct
19368683.26159503,1.0052885412462806,0.028507387369411556,"(1, 0, 0)","(1, 0, 1, 0)",ct
19244775.187681083,2.7359645148896097,0.029820942793876676,"(1, 0, 0)","(1, 0, 2, 0)",ct
19368964.233036198,1.220596645226258,0.02975685061933307,"(1, 0, 0)","(2, 0, 0, 0)",ct
19139390.656118795,1.6724980957850302,0.029796710642207135,"(1, 0, 0)","(2, 0, 1, 0)",ct
19014977.572945584,3.7542496018845273,0.029811930401893696,"(1, 0, 0)","(2, 0, 2, 0)",ct
19327629.70271456,0.14429613477677497,0.011361508748426698,"(1, 0, 1)","(0, 0, 0, 0)",n
17465195.438442606,0.31956323270695913,0.011733295513076149,"(1, 0, 1)","(0, 0, 1, 0)",n
17457218.38422409,0.5403992547117801,0.011916034162256641,"(1, 0, 1)","(0, 0, 2, 0)",n
17493274.694971435,0.9950950352181178,0.011446060800608933,"(1, 0, 1)","(1, 0, 0, 0)",n
19688317.93637461,0.5307009336080133,0.012793184033775103,"(1, 0, 1)","(1, 0, 1, 0)",n
17497853.932555817,1.7909394526679603,0.012183388215649878,"(1, 0, 1)","(1, 0, 2, 0)",n
17458474.144866034,1.4608412923054905,0.011776128839060646,"(1, 0, 1)","(2, 0, 0, 0)",n
17214504.95392219,1.4612357081891802,0.013161672250514636,"(1, 0, 1)","(2, 0, 1, 0)",n
17478638.42353739,1.787575566188862,0.012504605918875228,"(1, 0, 1)","(2, 0, 2, 0)",n
19177552.71670194,0.6143122542371106,0.016310090837670956,"(1, 0, 1)","(0, 0, 0, 0)",c
17912967.095343046,0.7498495505232262,0.01714427276014009,"(1, 0, 1)","(0, 0, 1, 0)",c
17903600.43195678,1.0792151082877162,0.0175505753513757,"(1, 0, 1)","(0, 0, 2, 0)",c
